--- Job d4n12R0R7d05d05 Start 07/19/21 22:47:30 35.1.0 r82a9585 LEX-LEG x86 64bit/Linux
--- Applying:
    /rvol/GAMS/gams35.1_linux_x64_64_sfx/gmsprmun.txt
--- GAMS Parameters defined
    NLP baron
    Input /home/ps/ce-fs2/tk3016/WCGO/Full_testing/NLP/random_polynomials/NLP/d4n12R0R7d05d05.gms
    ScrDir /home/ps/ce-fs2/tk3016/WCGO/Full_testing/NLP/random_polynomials/NLP/225c/
    SysDir /rvol/GAMS/gams35.1_linux_x64_64_sfx/
    Trace /home/ps/ce-fs2/tk3016/WCGO/Full_testing/NLP/random_polynomials/NLP/trace.trc
    TraceOpt 3
    ResLim 3600
    OptCR 0.001
    OptCA 1E-5
    Threads 24
Licensee: Medium MUD - 10 User License                   S200525/0001AP-LNX
          Imperial College London, Centre for Process Systems EngineerDC621
          /rvol/GAMS/gams35.1_linux_x64_64_sfx/gamslice.txt
GAMS 35.1.0   Copyright (C) 1987-2021 GAMS Development. All rights reserved
--- Starting compilation
--- d4n12R0R7d05d05.gms(61) 2 Mb
--- Starting execution: elapsed 0:00:00.066
--- d4n12R0R7d05d05.gms(55) 3 Mb
--- Generating NLP model m
--- d4n12R0R7d05d05.gms(60) 5 Mb
---   7 rows  13 columns  85 non-zeroes
---   13,868 nl-code  60 nl-non-zeroes
--- d4n12R0R7d05d05.gms(60) 5 Mb
--- d4n12R0R7d05d05.gms(60) 3 Mb
--- Executing BARON (Solvelink=2): elapsed 0:00:00.199

GAMS/BARON       35.1.0 r82a9585 Released Apr 29, 2021 LEG x86 64bit/Linux    

===========================================================================
 BARON version 21.1.13. Built: LNX-64 Wed Jan 13 16:01:25 EST 2021

 BARON is a product of The Optimization Firm.
 For information on BARON, see https://minlp.com/about-baron

 If you use this software, please cite publications from
 https://minlp.com/baron-publications, such as: 

 Khajavirad, A. and N. V. Sahinidis,
 A hybrid LP/NLP paradigm for global optimization relaxations,
 Mathematical Programming Computation, 10, 383-421, 2018.
===========================================================================
 This BARON run may utilize the following subsolver(s)
 For LP/MIP/QP: ILOG CPLEX                                      
 For NLP: MINOS, SNOPT, GAMS external NLP, IPOPT, FILTERSD, FILTERSQP
===========================================================================
 Preprocessing found feasible solution with value  128635.094878     
 Doing local search
 Preprocessing found feasible solution with value  14612.3305100     
 Solving bounding LP
 Starting multi-start local search
 Done with local search
===========================================================================
  Iteration    Open nodes         Time (s)    Lower bound      Upper bound
          1             1             3.08     6754.94          14612.3    
         20             9            33.37     8038.85          14612.3    
         49             7            63.41     8038.85          14612.3    
         72            11            94.41     8038.85          14612.3    
        103            10           124.62     8038.85          14612.3    
        129            10           156.10     8038.85          14612.3    
        157             8           187.54     8038.85          14612.3    
        184             9           217.94     8038.85          14612.3    
        209            13           248.78     8616.44          14612.3    
        238            15           280.05     8616.44          14612.3    
        262            17           310.61     8616.44          14612.3    
        287            16           341.39     8616.44          14612.3    
        315            15           371.66     8616.44          14612.3    
        342            15           402.43     8616.44          14612.3    
        372            13           432.91     8616.44          14612.3    
        398            14           463.78     8616.44          14612.3    
        418            20           494.50     8641.78          14612.3    
        445            20           525.20     8641.78          14612.3    
        468            18           556.82     8641.78          14612.3    
        492            20           587.18     8641.78          14612.3    
        513            19           617.53     8641.78          14612.3    
        534            19           648.13     8641.78          14612.3    
        553            18           678.79     8641.78          14612.3    
        573            18           709.92     8641.78          14612.3    
        597            20           740.15     8641.78          14612.3    
        616            24           770.26     9235.77          14612.3    
        645            27           800.54     9235.77          14612.3    
        673            27           831.18     9235.77          14612.3    
        703            25           861.47     9235.77          14612.3    
        729            26           892.20     9235.77          14612.3    
        750            26           923.55     9235.77          14612.3    
        774            24           953.59     9235.77          14612.3    
        802            26           983.93     9235.77          14612.3    
        824            31          1014.31     9434.55          14612.3    
        846            31          1045.12     9434.55          14612.3    
        872            30          1076.37     9434.55          14612.3    
        893            31          1106.62     9434.55          14612.3    
        916            31          1137.35     9434.55          14612.3    
        942            30          1168.32     9434.55          14612.3    
        966            31          1199.01     9434.55          14612.3    
        987            32          1229.08     9434.55          14612.3    
       1012            30          1260.31     9434.55          14612.3    
       1035            37          1290.46     9508.86          14612.3    
       1060            37          1321.20     9508.86          14612.3    
       1092            34          1352.79     9508.86          14612.3    
       1117            35          1383.45     9508.86          14612.3    
       1140            33          1413.97     9508.86          14612.3    
       1167            35          1444.53     9508.86          14612.3    
       1193            32          1475.07     9508.86          14612.3    
       1216            35          1505.31     9517.26          14612.3    
       1244            38          1535.38     9517.26          14612.3    
       1276            38          1565.85     9517.26          14612.3    
       1304            38          1596.45     9517.26          14612.3    
       1328            37          1626.70     9517.26          14612.3    
       1355            37          1657.89     9517.26          14612.3    
       1376            35          1688.43     9517.26          14612.3    
       1396            35          1720.39     9517.26          14612.3    
       1418            39          1751.13     9753.09          14612.3    
       1437            42          1782.61     9753.09          14612.3    
