,SETUP,PRE-PROCESSOR,LOCAL SOLVER,MIP SOLVER,TOTAL
chp_shortrermplan1b,12.25,64.22,38.34,3160.15,3274.96
chp_shorttermplan2a,11.1,38.91,32.51,280.5,363.02
chp_shorttermplan2c,27.6,140.79,0,3431.64,3600.03
chp_shorttermplan2d,41.82,124.02,0,3434.2,3600.04
gastrans,0.79,0.2,0.11,0.03,1.13
hmittelman,0.39,1,0.11,0.09,1.59
hybriddynamic_var,0.35,0.08,0.06,0.08,0.57
nvs04,0.45,0.11,0.01,0,0.57
nvs07,0.29,0.03,0.01,0,0.33
nvs16,0.29,0.09,0.01,0.11,0.5
nvs21,0.34,0.06,0.01,0.08,0.49
refinery,1.11,2.01,1.97,5.27,10.36
sfacloc1_2_80,1.71,2.95,1.28,2987.39,2993.33
sfacloc1_2_90,0.49,0.23,0.14,168.55,169.41
sfacloc1_2_95,0.47,0.15,0.1,25.91,26.63
sfacloc1_3_80,1.83,2.86,0,3595.33,3600.02
sfacloc1_3_90,0.79,0.34,0,3598.88,3600.01
sfacloc1_3_95,0.69,0.23,0,3599.09,3600.01
st_e38,0.31,0.04,0.02,0.05,0.42
st_e40,0.45,0.03,0.01,0.22,0.71
transswitch0009r,0.37,1.37,0,3598.29,3600.03
transswitch0030r,0.75,3.06,0,3596.24,3600.05
waterno2_01,0.46,0.14,0.11,0.08,0.79
waterno2_02,0.61,0.47,0.29,0.48,1.85
waterno2_04,1.22,1.16,0.72,8.94,12.04
waterno2_06,2.17,2.03,0,3595.8,3600
waterno2_09,4.05,4.47,0,3591.5,3600.02
alkyl,1.1,0.03,0.01,0.07,1.21
arki0005,367.75,466.63,359.14,2374.52,3568.04
arki0006,396.75,1022.08,0,2181.3,3600.13
beryllium,0.35,0.08,0.04,2.7,3.17
ex4_1_1,0.33,0.02,0.01,0.03,0.39
ex4_1_2,0.31,0.04,0.03,0.02,0.4
ex4_1_3,0.34,0.01,0.01,0.03,0.39
ex4_1_4,0.32,0.01,0.01,0.02,0.36
ex4_1_5,0.34,0,0.01,0.03,0.38
ex4_1_6,0.28,0.01,0.01,0.04,0.34
ex4_1_7,0.31,0.01,0.01,0.02,0.35
ex4_1_9,0.34,0.02,0.01,0.02,0.39
ex7_3_2,0.66,0.01,0.01,0.01,0.69
ex8_1_7,0.33,0.03,0.01,1.37,1.74
ex8_4_2,0.28,0.06,0,3599.66,3600
ex14_1_2,0.3,0.01,0.03,0.01,0.35
harker,0.34,0.01,0.03,0.1,0.48
kall_ellipsoids_tc05a,1.21,8.1,0,3591.03,3600.34
mathopt1,0.31,0.02,0.01,0,0.34
mathopt2,0.3,0.02,0.01,0,0.33
mathopt5_4,0.45,0.01,0.01,0,0.47
mathopt5_7,0.31,0.01,0.01,0.02,0.35
mathopt5_8,0.27,0.01,0.01,0.03,0.32
orth_d3m6,0.33,0.26,0,3599.42,3600.01
orth_d3m6_pl,0.38,0.02,0,3599.61,3600.01
orth_d4m6_pl,0.59,0.15,0.09,2046.73,2047.56
prob09,0.39,0.02,0.01,0,0.42
rbrock,0.3,0.02,0.01,0,0.33
st_e03,0.27,0.07,0.04,0.07,0.45
st_e19,0.3,0.01,0.01,0.02,0.34
d7n5R0R6d1d05,1.35,3.1,0,3602.52,3606.97
d7n5R0R6d01d05,0.42,0.28,0.16,1564.15,1565.01
d7n5R0R6d05d05,0.4,1.57,1.14,338.86,341.97
d7n5R0R6d005d05,0.41,0.12,0.15,20.8,21.48
d7n5R1R6d1d1,0.91,3.04,2.19,3589.52,3595.66
d7n5R1R6d01d1,0.71,0.25,0.14,66.08,67.18
d7n5R1R6d1d05,0.6,2.9,2.3,2763.11,2768.91
d7n5R1R6d01d05,0.35,0.24,0.15,43.38,44.12
d7n5R1R6d05d1,0.43,1.31,1.33,2049.27,2052.34
d7n5R1R6d005d1,0.43,0.11,0.08,64.7,65.32
d7n5R1R6d05d05,0.58,1.86,0.96,2036.83,2040.23
d7n5R1R6d005d05,0.36,0.1,0.1,24.15,24.71
d7n5R2R6d1d1,0.66,2.56,2.82,2923.2,2929.24
d7n5R2R6d01d1,0.41,0.19,0.19,225.95,226.74
d7n5R2R6d1d05,0.6,3.08,2.05,708.66,714.39
d7n5R2R6d01d05,0.65,0.27,0.15,24.49,25.56
d7n5R2R6d05d1,0.42,1.14,1.38,2706.43,2709.37
d7n5R2R6d005d1,0.73,0.12,0.14,35.51,36.5
d7n5R2R6d05d05,0.41,1.68,1.21,3466.95,3470.25
