,SETUP,PRE-PROCESSOR,LOCAL SOLVER,MIP SOLVER,TOTAL
chp_shortrermplan1b,12.6,117.12,37.22,1766.1,1933.04
chp_shorttermplan2a,10.75,88.23,30.62,203.69,333.29
chp_shorttermplan2c,28.28,321.68,0,3250.07,3600.03
chp_shorttermplan2d,42.76,523.06,0,3034.26,3600.08
gastrans,0.47,0.93,0.15,0.1,1.65
hmittelman,0.37,1.09,0.11,0.04,1.61
hybriddynamic_var,0.57,0.21,0.05,0.09,0.92
nvs04,0.45,0.11,0.01,0,0.57
nvs07,0.35,0.03,0.01,0,0.39
nvs16,0.31,0.11,0.01,0,0.43
nvs21,0.42,0.21,0.01,0.02,0.66
refinery,1.11,14.9,1.4,12.46,29.87
sfacloc1_2_80,1.75,4.21,1.19,2968.94,2976.09
sfacloc1_2_90,0.57,0.51,0.14,168.55,169.77
sfacloc1_2_95,0.74,0.71,0.11,16.92,18.48
sfacloc1_3_80,1.83,4.59,0,3593.59,3600.01
sfacloc1_3_90,0.59,0.79,0,3598.63,3600.01
sfacloc1_3_95,0.42,1.17,0,3598.42,3600.01
st_e38,0.68,0.2,0.01,0,0.89
st_e40,0.31,0.07,0.01,0.13,0.52
transswitch0009r,0.32,1.66,0,3598.09,3600.07
transswitch0030r,0.72,4.69,0,3594.64,3600.05
waterno2_01,0.37,10.03,0.09,0.1,10.59
waterno2_02,0.79,17.62,0.28,0.34,19.03
waterno2_04,1.09,63.44,0.71,9.03,74.27
waterno2_06,2.05,183.9,0,3414.05,3600
waterno2_09,4.09,945.88,0,2650.06,3600.03
alkyl,1.2,0.09,0.02,0.06,1.37
arki0005,368.21,3231.86,0,0,3600.07
arki0006,396.54,3203.54,0,0,3600.08
beryllium,0.31,0.89,0.03,2.97,4.2
ex4_1_1,0.39,0.29,0.01,0.01,0.7
ex4_1_2,0.38,1.01,0.02,0.01,1.42
ex4_1_3,0.31,0.17,0.01,0,0.49
ex4_1_4,0.29,0.08,0.01,0.04,0.42
ex4_1_5,0.27,0.54,0.01,0.02,0.84
ex4_1_6,0.3,0.16,0.01,0.02,0.49
ex4_1_7,0.71,0.13,0.01,0,0.85
ex4_1_9,0.3,0.34,0.01,0.01,0.66
ex7_3_2,0.3,0.03,0.01,0,0.34
ex8_1_7,0.31,2.24,0.01,0.26,2.82
ex8_4_2,0.33,30.31,0,3569.37,3600.01
ex14_1_2,0.33,0.03,0.03,0.01,0.4
harker,0.35,2.56,0.02,0.01,2.94
kall_ellipsoids_tc05a,1.43,88.34,0,3510.3,3600.07
mathopt1,0.29,0.02,0.01,0,0.32
mathopt2,0.33,0.02,0.01,0,0.36
mathopt5_4,0.33,0.41,0.01,0,0.75
mathopt5_7,0.32,0.15,0.01,0.01,0.49
mathopt5_8,0.36,0.15,0.01,0.01,0.53
orth_d3m6,0.33,0.76,0,3598.93,3600.02
orth_d3m6_pl,0.41,0.53,0,3599.07,3600.01
orth_d4m6_pl,0.34,0.57,0.1,1894.32,1895.33
prob09,0.32,0.02,0.01,0.35,0.7
rbrock,0.34,0.02,0.01,0.37,0.74
st_e03,0.27,0.11,0.03,0.05,0.46
st_e19,0.29,0.09,0.01,0.02,0.41
d7n5R0R6d1d05,1.38,94.57,0,3508.36,3604.31
d7n5R0R6d01d05,0.43,12.78,0.18,1071.37,1084.76
d7n5R0R6d05d05,0.48,100.69,0.8,412,513.97
d7n5R0R6d005d05,0.45,18.72,0.15,19.78,39.1
d7n5R1R6d1d1,0.63,210.73,2.18,3236.77,3450.31
d7n5R1R6d01d1,0.43,18.34,0.19,57.82,76.78
