,SETUP,PRE-PROCESSOR,LOCAL SOLVER,MIP SOLVER,TOTAL
chp_shortrermplan1b,12.08,115.98,36.03,1422.61,1586.7
chp_shorttermplan2a,10.68,88.96,31.28,181.27,312.19
chp_shorttermplan2c,27.68,306.75,0,3265.61,3600.04
chp_shorttermplan2d,42.14,519.77,0,3038.22,3600.13
gastrans,0.42,0.93,0.16,0.1,1.61
hmittelman,0.41,1.1,0.11,0.04,1.66
hybriddynamic_var,0.51,0.21,0.05,0.12,0.88
nvs04,0.44,0.11,0.01,0,0.56
nvs07,0.64,0.03,0.01,0,0.68
nvs16,0.31,0.11,0.01,0,0.43
nvs21,0.39,0.22,0.01,0.02,0.63
refinery,1.37,14.99,1.42,11.95,29.74
sfacloc1_2_80,1.98,4.36,1.19,2960.13,2967.66
sfacloc1_2_90,0.75,0.51,0.15,169.8,171.22
sfacloc1_2_95,0.41,0.71,0.11,16.9,18.14
sfacloc1_3_80,1.87,4.54,0,3593.61,3600.02
sfacloc1_3_90,0.73,0.8,0,3598.48,3600.01
sfacloc1_3_95,0.71,1.17,0,3598.13,3600.01
st_e38,0.54,0.2,0.01,0,0.75
st_e40,0.31,0.07,0.02,0.09,0.49
transswitch0009r,0.48,1.67,0,3597.87,3600.02
transswitch0030r,0.8,4.71,0,3594.51,3600.03
waterno2_01,0.44,9.95,0.09,0.07,10.54
waterno2_02,0.6,17.64,0.24,0.41,18.9
waterno2_04,1.43,63.26,0.73,12.41,77.83
waterno2_06,2.07,183.13,0,3414.81,3600.01
waterno2_09,4.17,945.14,0,2650.72,3600.04
alkyl,0.98,0.09,0.02,0.05,1.14
arki0005,376.11,3223.96,0,0,3600.07
arki0006,397.91,3202.17,0,0,3600.09
beryllium,0.42,0.9,0.02,0.82,2.16
ex4_1_1,0.33,0.33,0.01,0.01,0.68
ex4_1_2,0.33,1,0.02,0.01,1.36
ex4_1_3,0.59,0.17,0.01,0,0.76
ex4_1_4,0.31,0.07,0.01,0.01,0.41
ex4_1_5,0.26,0.56,0.01,0.02,0.85
ex4_1_6,0.33,0.15,0.01,0.01,0.5
ex4_1_7,0.32,0.12,0.01,0,0.44
ex4_1_9,0.3,0.34,0.01,0.01,0.65
ex7_3_2,0.3,0.04,0.01,0,0.35
ex8_1_7,0.59,2.23,0.01,0.18,3.01
ex8_4_2,0.4,30.58,0,3569.03,3600.01
ex14_1_2,0.3,0.03,0.03,0.01,0.37
harker,0.39,2.65,0.02,0.01,3.08
kall_ellipsoids_tc05a,1.22,88.33,0,3510.49,3600.03
mathopt1,0.4,0.02,0.01,0,0.43
mathopt2,0.3,0.02,0.01,0,0.33
mathopt5_4,0.32,0.41,0.01,0,0.74
mathopt5_7,0.34,0.15,0.01,0.01,0.51
mathopt5_8,0.3,0.14,0.01,0.01,0.46
orth_d3m6,0.35,0.76,0.19,2019.01,2020.32
orth_d3m6_pl,0.48,0.53,0,3599.01,3600.01
orth_d4m6_pl,0.51,0.57,0,3598.95,3600.02
prob09,0.87,0.02,0.01,0,0.9
rbrock,1.33,0.02,0.01,0,1.36
st_e03,1.23,0.12,0.03,0.05,1.43
st_e19,0.95,0.09,0.01,0.02,1.07
d7n5R0R6d1d05,1.29,94.05,2.73,563.91,661.99
d7n5R0R6d01d05,0.47,13.92,0.27,9.03,23.69
d7n5R0R6d05d05,0.45,99.32,1.22,14.61,115.6
d7n5R0R6d005d05,0.35,20.13,0.1,1.08,21.66
d7n5R1R6d1d1,0.49,201.43,2.54,171.48,375.94
d7n5R1R6d01d1,0.36,17.54,0.19,2.46,20.55
d7n5R1R6d1d05,0.58,234.81,0,3364.72,3600.11
d7n5R1R6d01d05,0.41,19.06,0.15,1.78,21.41
d7n5R1R6d05d1,0.44,34.28,1.31,116.95,152.99
d7n5R1R6d005d1,0.29,20.07,0.07,1.84,22.27
d7n5R1R6d05d05,0.52,78.67,1.12,15.09,95.41
d7n5R1R6d005d05,0.35,18.92,0.1,1.23,20.61
d7n5R2R6d1d1,0.55,172.29,4.94,132.89,310.66
d7n5R2R6d01d1,0.26,28.15,0.15,3.12,31.69
d7n5R2R6d1d05,0.57,180.91,2.29,27.08,210.85
d7n5R2R6d01d05,0.36,60.17,0.16,1.94,62.64
d7n5R2R6d05d1,0.66,88.12,1.28,19.01,109.06
d7n5R2R6d005d1,0.41,16.34,0.11,1.93,18.8
d7n5R2R6d05d05,0.47,162.43,1.43,36.87,201.2
d7n5R2R6d005d05,0.56,9.08,0.09,1.08,10.81
d6n6R0R6d1d05,0.79,398.15,0,3201.33,3600.27
d6n6R0R6d01d05,0.69,11.23,0.28,2.35,14.56
d6n6R0R6d05d05,0.83,87.02,1.26,225.63,314.73
d6n6R0R6d005d05,0.35,9.88,0.14,3.29,13.67
d6n6R1R6d1d1,0.68,592.21,0,3007.18,3600.07
d6n6R1R6d01d1,0.4,12.55,0.22,11.87,25.04
d6n6R1R6d1d05,0.59,345.75,0,3253.78,3600.12
d6n6R1R6d01d05,0.48,39.04,0.25,1.55,41.32
d6n6R1R6d05d1,0.8,71.85,1.64,1200.21,1274.5
d6n6R1R6d005d1,0.42,18.35,0.12,2.69,21.57
d6n6R1R6d05d05,0.82,68.15,1.25,2308.47,2378.68
d6n6R1R6d005d05,0.62,19.87,0.11,1.88,22.48
d6n6R3R6d1d1,0.69,1274.8,3.79,391.19,1670.47
d6n6R3R6d01d1,0.73,45.62,0.22,2.35,48.91
d6n6R3R6d1d05,1.02,1767.24,4.41,412.77,2185.44
d6n6R3R6d01d05,0.84,76.72,0.42,2.6,80.58
d6n6R3R6d05d1,0.7,72.15,1.75,216.47,291.06
d6n6R3R6d005d1,0.6,35.8,0.17,1.75,38.32
d6n6R3R6d05d05,0.51,169.77,1.66,84.58,256.52
d6n6R3R6d005d05,0.62,25.15,0.11,2.2,28.08
d5n8R0R6d1d05,1.16,745.89,0,2853.19,3600.24
d5n8R0R6d01d05,1.04,27.07,0.64,6.22,34.97
d5n8R0R6d05d05,0.74,301.32,0,3298.19,3600.25
d5n8R0R6d005d05,0.46,15.89,0.24,2.19,18.77
d5n8R2R6d1d1,1.18,810.74,0,2788.21,3600.13
d5n8R2R6d01d1,0.43,61.76,1.09,8.11,71.39
d5n8R2R6d1d05,1.32,1085.43,0,2513.75,3600.51
d5n8R2R6d01d05,0.52,47.92,0.76,460.79,509.99
d5n8R2R6d05d1,0.86,436.02,0,3163.31,3600.19
d5n8R2R6d005d1,0.4,35.18,0.23,1.51,37.32
d5n8R2R6d05d05,0.69,548.28,0,3051.09,3600.06
d5n8R2R6d005d05,0.49,19.84,0.22,1.52,22.08
d5n8R4R6d1d1,1.42,2590.05,0,1008.55,3600.02
d5n8R4R6d01d1,0.37,30.4,0.37,5.57,36.72
d5n8R4R6d1d05,1.17,1541.79,0,2057.33,3600.31
d5n8R4R6d01d05,0.57,48.86,0.88,28.13,78.45
d5n8R4R6d05d1,0.74,567.33,0,3032.02,3600.1
d5n8R4R6d005d1,0.41,25.05,0.22,2,27.68
d5n8R4R6d05d05,0.73,916.08,0,2683.37,3600.18
d5n8R4R6d005d05,0.39,42.95,0.36,2.8,46.49
d4n12R0R7d1d05,1.64,1720.96,0,1878.23,3600.83
d4n12R0R7d05d05,0.84,543.33,0,3055.9,3600.07
d4n12R3R7d1d1,1.57,3598.74,0,0,3600.31
d4n12R3R7d1d05,1.77,2026.24,0,1572.11,3600.12
d4n12R3R7d05d1,0.97,737.13,0,2862,3600.1
d4n12R3R7d05d05,0.99,1016.96,0,2582.25,3600.19
d4n12R6R7d1d1,1.8,3598.43,0,0,3600.24
d4n12R6R7d1d05,1.66,3598.47,0,0,3600.12
d4n12R6R7d05d1,0.99,1577.14,0,2021.94,3600.07
d4n12R6R7d05d05,1.26,856.8,0,2742.03,3600.08
d3n16R0R9d1d05,1.2,862.5,0,2736.45,3600.15
d3n16R4R9d1d05,0.56,8.13,0.55,15.75,24.98
d3n16R8R9d01d1,0.37,0.53,0.07,0.43,1.4
d3n16R8R9d0005d05,1.58,477.52,6.86,942.17,1428.13
tuncphd_19,0.33,0.61,0.01,0.31,1.26
tuncphd_20,0.33,0.2,0.02,0.41,0.96
tuncphd_22,0.27,0.03,0.01,0,0.31
tuncphd_23,0.25,0.03,0.01,0.44,0.73
tuncphd_24,0.33,1.12,0.03,2.19,3.67
tuncphd_27,0.37,0.04,0.01,0,0.42
tuncphd_29,0.39,0.12,0.06,1.43,2
tuncphd_30,0.32,0.07,0.04,1323.81,1324.24
tuncphd_31,0.39,0.09,0.03,0.3,0.81
tuncphd_33,0.3,0.03,0,3599.75,3600.08
