Sl. No.,Name,WithPSD,WithRed,Default,NoOBBT,NoLocal,NoPre
1,chp_shortrermplan1b,108.28,99.39,96.28,21.33,91.51,10.31
2,chp_shorttermplan2a,33.08,30.19,26.67,29.03,26.76,9.18
3,chp_shorttermplan2c,255.11,206.31,192.24,61.4,186.7,36.56
4,gastrans,0.46,0.38,0.41,0.07,0.35,0.05
5,hmittelman,0.45,0.47,0.35,0.3,0.09,0.04
6,hybriddynamic_var,0.2,0.2,0.16,0.06,0.17,0.04
7,nvs04,0.12,0.13,0.11,0.13,0.03,0.03
8,nvs07,0.06,0.06,0.05,0.06,0.03,0.03
9,nvs16,0.06,0.05,0.05,0.06,0.03,0.02
10,sfacloc1_2_80,5.14,5.83,4.83,1.79,3.93,1.08
11,sfacloc1_2_90,0.68,0.58,0.59,0.14,0.53,0.1
12,sfacloc1_2_95,0.41,0.37,0.38,0.1,0.36,0.07
13,sfacloc1_3_80,7.15,6.03,5.83,2.02,5.15,1.2
14,sfacloc1_3_90,1.34,1.03,1.01,0.2,0.95,0.15
15,sfacloc1_3_95,0.8,0.64,0.64,0.14,0.59,0.1
16,st_e38,0.05,0.05,0.04,0.04,0.03,0.02
17,st_e40,0.05,0.05,0.04,0.03,0.03,0.03
18,transswitch0009r,0.4,0.36,0.31,0.1,0.27,0.05
19,transswitch0030r,7.58,8.72,5.33,2.85,4.24,0.3
20,waterno2_01,0.63,0.42,0.42,0.13,0.4,0.07
21,waterno2_02,1.8,1.32,1.27,0.22,1.24,0.15
22,waterno2_04,5.07,4.37,4.29,0.7,4.27,0.46
23,waterno2_06,10.95,9.71,9.42,1.51,9.39,0.97
24,waterno2_09,25.28,22.33,21.34,3.53,21.15,2.11
25,alkyl,0.05,0.05,0.04,0.04,0.03,0.02
26,ex4_1_1,0.03,0.05,0.03,0.03,0.03,0.02
27,ex4_1_2,0.04,0.06,0.04,0.04,0.04,0.03
28,ex4_1_3,0.02,0.03,0.02,0.03,0.02,0.02
29,ex4_1_4,0.03,0.03,0.03,0.04,0.03,0.02
30,ex4_1_5,0.03,0.04,0.02,0.03,0.03,0.03
31,ex4_1_6,0.02,0.03,0.02,0.03,0.03,0.03
32,ex4_1_7,0.04,0.03,0.02,0.03,0.02,0.03
33,ex4_1_9,0.03,0.04,0.03,0.03,0.03,0.03
34,ex7_3_2,0.04,0.03,0.03,0.03,0.03,0.03
35,ex8_1_7,0.08,0.07,0.07,0.05,0.04,0.03
36,ex8_4_2,0.18,0.18,0.185,0.09,0.11,0.03
37,ex14_1_2,0.14,0.16,0.15,0.12,0.12,0.09
38,harker,0.04,0.03,0.03,0.03,0.06,0.02
39,kall_ellipsoids_tc05a,69.81,182.77,50.75,8.55,57.04,0.65
40,mathopt1,0.03,0.03,0.02,0.03,0.02,0.02
41,mathopt2,0.04,0.03,0.03,0.04,0.03,0.03
42,mathopt5_4,0.04,0.04,0.03,0.04,0.03,0.03
43,mathopt5_7,0.06,0.03,0.03,0.03,0.03,0.03
44,mathopt5_8,0.04,0.04,0.03,0.03,0.03,0.03
45,orth_d3m6,0.35,0.47,0.29,0.1,0.27,0.04
46,orth_d3m6_pl,0.37,0.45,0.32,0.05,0.32,0.05
